Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Self-Portrait,25,25,,
Reader of This Page,29,29,,
My Mother as a Young Woman,30,30,,
El 9 de abril,31,31,,
The Altar Boy,32,32,,
Memorial Day,37,37,,
Postpartum,38,38,,
The Fifth of November,39,39,,
"Búho,,40, Búho",
"Mirror,,41, Mirror",
What Appear to Be Sunflowers,42,42,,
With These Scissors,43,43,,
"In Hazelwood,,47, Wiping the Oilcloth for the Hundreth Time",
My Father Half-Stoned in the Projects,48,48,,
Behind the Stove,49,49,,
My Grandmother's White Cat,50,51,,
Party Line,52,52,,
My Uncle Julius,53,53,,
The Halloween Party,54,54,,
Grimm the Janitor,55,55,,
New Year's Day,59,59,,
First Apartment,60,60,,
Two Grandfathers,61,61,,
Why I Return to Colombia,65,65,,
Clearing Customs,66,66,,
A Tongue Is a Rope Bridge,67,67,,
Two Figures with Mango,68,68,,
After the Colombian Earthquake,69,69,,
Northern Wisconsin,73,73,,
Back Surgery and After,74,74,,
Fast Forward,75,75,,
Adopting a New Life,76,76,,
Why Given to Be Adopted,77,77,,
The Hands of the Old Métiz,78,78,,
From the Carib Word Mahiz,79,79,,
Augury of My Death,80,80,,
Cellar Doors of a Small Town,85,85,,
Late Supper in Northern Appalachia,86,86,,
After Midnight at the Salvage Yard,87,87,,
The American Flag,88,88,,
After Chaos Theory,89,89,,
Listen,90,90,,
The Floating Kidney,91,91,,
After the Flood,92,92,,
River Spirits,93,93,,
